num-generations,num-evaluations,time-elapsed,best-fitness,crossover-method,population-size,num-points,initialization,seed,population_size,crossover_method,num_points,generation_budget,time_spent
1,200,1.4713618755340576,50822,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
2,300,3.0752899646759033,50706,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
3,400,4.67596697807312,50683,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
4,500,6.316312313079834,50444,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
5,600,7.953186988830566,50380,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
6,700,9.59089970588684,50205,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
7,800,11.264752388000488,50144,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
8,900,12.952677488327026,49870,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
9,1000,14.65282940864563,49851,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
10,1100,16.335129261016846,49687,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
11,1200,18.06440043449402,49687,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
12,1300,19.80876636505127,49209,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
13,1400,21.54826021194458,49190,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
14,1500,23.283026218414307,49123,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
15,1600,24.997339725494385,48429,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
16,1700,26.75152897834778,48429,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
17,1800,28.50633406639099,48371,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
18,1900,30.28990602493286,47976,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
19,2000,32.037973403930664,47953,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
20,2100,33.77325749397278,47830,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
21,2200,35.551135301589966,47641,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
22,2300,37.33288025856018,47597,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
23,2400,39.11958861351013,47494,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
24,2500,40.87485647201538,47393,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
25,2600,42.64192247390747,47062,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
26,2700,44.44905710220337,47062,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
27,2800,46.225351095199585,47041,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
28,2900,47.97656965255737,46805,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
29,3000,49.8267343044281,46587,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
30,3100,51.653714418411255,46354,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
31,3200,53.70814108848572,46190,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
32,3300,55.76301097869873,46042,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
33,3400,57.815799713134766,45939,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
34,3500,59.898725748062134,45918,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
35,3600,61.992870807647705,45749,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
36,3700,64.03084087371826,45661,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
37,3800,66.09438490867615,45517,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
38,3900,68.18353033065796,45429,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
39,4000,70.27361631393433,45426,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
40,4100,72.36999797821045,45354,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
41,4200,74.43831777572632,45307,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
42,4300,76.53371477127075,45284,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
43,4400,78.60412621498108,45227,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
44,4500,80.75595808029175,44829,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
45,4600,82.89383935928345,44829,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
46,4700,85.03918647766113,44739,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
47,4800,87.20093393325806,44723,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
48,4900,89.3328800201416,44595,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
49,5000,91.50222325325012,44595,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
50,5100,93.65835189819336,44579,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
51,5200,95.89650249481201,44436,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
52,5300,98.10286617279053,44308,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1333.8791224956512
