num-generations,num-evaluations,time-elapsed,best-fitness,avg-fitness,num_features_mutation_strength,crossover-method,population-size,num-points,initialization,seed,population_size,crossover_method,num_points,generation_budget,time_spent
1,200,1.8907124996185303,57600,58297.34,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
2,300,3.943934917449951,57546,58172.56,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
3,400,5.904999017715454,57531,57913.33,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
4,500,7.999849081039429,57268,57636.84,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
5,600,10.098244905471802,56674,57313.75,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
6,700,12.08396291732788,56092,56939.8,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
7,800,14.11913514137268,55874,56539.11,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
8,900,16.130255937576294,55694,56178.68,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
9,1000,18.08993363380432,55090,55928.04,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
10,1100,20.14279532432556,54933,55689.78,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
11,1200,22.210158348083496,54771,55358.09,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
12,1300,24.670425176620483,53753,54947.72,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
13,1400,26.51663374900818,53701,54472.93,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
14,1500,28.15065312385559,53057,54018.65,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
15,1600,29.79542875289917,52540,53569.11,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
16,1700,31.549880504608154,52540,53163.54,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
17,1800,33.192423582077026,52533,52885.32,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
18,1900,34.75176525115967,52358,52659.69,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
19,2000,36.32046389579773,52167,52507.11,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
20,2100,37.890262603759766,52090,52383.15,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
21,2200,39.45408248901367,52050,52260.97,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
22,2300,41.06026077270508,51660,52110.44,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
23,2400,42.61071586608887,51543,51924.99,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
24,2500,44.172728538513184,51422,51762.51,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
25,2600,45.75925350189209,51014,51593.24,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
26,2700,47.45279240608215,50975,51431.05,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1012.7462933063507
